player_name,date,overall_level,overall_xp,overall_rank,attack_level,attack_xp,attack_rank,defence_level,defence_xp,defence_rank,strength_level,strength_xp,strength_rank,hitpoints_level,hitpoints_xp,hitpoints_rank,ranged_level,ranged_xp,ranged_rank,prayer_level,prayer_xp,prayer_rank,magic_level,magic_xp,magic_rank,cooking_level,cooking_xp,cooking_rank,woodcutting_level,woodcutting_xp,woodcutting_rank,fletching_level,fletching_xp,fletching_rank,fishing_level,fishing_xp,fishing_rank,firemaking_level,firemaking_xp,firemaking_rank,crafting_level,crafting_xp,crafting_rank,smithing_level,smithing_xp,smithing_rank,mining_level,mining_xp,mining_rank,herblore_level,herblore_xp,herblore_rank,agility_level,agility_xp,agility_rank,thieving_level,thieving_xp,thieving_rank,slayer_level,slayer_xp,slayer_rank,farming_level,farming_xp,farming_rank,runecraft_level,runecraft_xp,runecraft_rank,hunter_level,hunter_xp,hunter_rank,construction_level,construction_xp,construction_rank,sailing_level,sailing_xp,sailing_rank,abyssal_sire_kc,abyssal_sire_rank,alchemical_hydra_kc,alchemical_hydra_rank,amoxliatl_kc,amoxliatl_rank,araxxor_kc,araxxor_rank,artio_kc,artio_rank,barrows_chests_kc,barrows_chests_rank,bryophyta_kc,bryophyta_rank,callisto_kc,callisto_rank,calvarion_kc,calvarion_rank,cerberus_kc,cerberus_rank,chambers_of_xeric_kc,chambers_of_xeric_rank,chambers_of_xeric_challenge_mode_kc,chambers_of_xeric_challenge_mode_rank,chaos_elemental_kc,chaos_elemental_rank,chaos_fanatic_kc,chaos_fanatic_rank,commander_zilyana_kc,commander_zilyana_rank,corporeal_beast_kc,corporeal_beast_rank,crazy_archaeologist_kc,crazy_archaeologist_rank,dagannoth_prime_kc,dagannoth_prime_rank,dagannoth_rex_kc,dagannoth_rex_rank,dagannoth_supreme_kc,dagannoth_supreme_rank,deranged_archaeologist_kc,deranged_archaeologist_rank,doom_of_mokhaiotl_kc,doom_of_mokhaiotl_rank,duke_sucellus_kc,duke_sucellus_rank,general_graardor_kc,general_graardor_rank,giant_mole_kc,giant_mole_rank,grotesque_guardians_kc,grotesque_guardians_rank,hespori_kc,hespori_rank,kalphite_queen_kc,kalphite_queen_rank,king_black_dragon_kc,king_black_dragon_rank,kraken_kc,kraken_rank,kree_arra_kc,kree_arra_rank,kril_tsutsaroth_kc,kril_tsutsaroth_rank,lunar_chests_kc,lunar_chests_rank,mimic_kc,mimic_rank,nex_kc,nex_rank,nightmare_kc,nightmare_rank,phosanis_nightmare_kc,phosanis_nightmare_rank,obor_kc,obor_rank,phantom_muspah_kc,phantom_muspah_rank,sarachnis_kc,sarachnis_rank,scorpia_kc,scorpia_rank,scurrius_kc,scurrius_rank,skotizo_kc,skotizo_rank,sol_heredit_kc,sol_heredit_rank,spindel_kc,spindel_rank,tempoross_kc,tempoross_rank,gauntlet_kc,gauntlet_rank,corrupted_gauntlet_kc,corrupted_gauntlet_rank,hueycoatl_kc,hueycoatl_rank,leviathan_kc,leviathan_rank,royal_titans_kc,royal_titans_rank,whisperer_kc,whisperer_rank,theatre_of_blood_kc,theatre_of_blood_rank,theatre_of_blood_hard_mode_kc,theatre_of_blood_hard_mode_rank,thermonuclear_smoke_devil_kc,thermonuclear_smoke_devil_rank,tombs_of_amascut_kc,tombs_of_amascut_rank,tombs_of_amascut_expert_mode_kc,tombs_of_amascut_expert_mode_rank,tzkal_zuk_kc,tzkal_zuk_rank,tztok_jad_kc,tztok_jad_rank,vardorvis_kc,vardorvis_rank,venenatis_kc,venenatis_rank,vetion_kc,vetion_rank,vorkath_kc,vorkath_rank,wintertodt_kc,wintertodt_rank,yama_kc,yama_rank,zalcano_kc,zalcano_rank,zulrah_kc,zulrah_rank
Ashley Juett,2025-12-09,1904,90806661,615461,84,3033408,1009210,84,3104463,911929,95,9045962,871507,99,13226252,659747,92,6700358,918200,78,1640165,712565,99,13597720,405483,86,3722202,741349,78,1668129,902722,80,2005024,824428,82,2657222,610642,71,844812,1506661,85,3368138,486632,75,1266295,758251,79,1921775,745488,80,2027492,555839,80,2001021,497060,80,2081188,556185,94,8354233,360171,90,5846454,503072,66,521017,765389,76,1368512,684709,70,804819,940847,1,0,-1,0,,0,,1,,0,,176,361264.0,1,,0,,0,,220,232740.0,15,284106.0,0,,0,,0,,0,,0,,0,,45,327947.0,59,474143.0,40,334528.0,25,250131.0,0,,0,,0,,1,,71,227544.0,33,368178.0,1,,18,637078.0,551,388049.0,0,,172,93183.0,25,323871.0,4,80390.0,0,,0,,0,,1,,0,,89,145204.0,0,,11,450745.0,0,,55,55806.0,0,,0,,14,848790.0,7,311996.0,101,185301.0,0,,0,,25,283693.0,0,,0,,0,,36,290743.0,13,250061.0,1,,0,,11,122015.0,0,,0,,0,,12,713000.0,46,1288711.0,0,,1,,104,388905.0
Dipshit_ind,2025-12-09,1904,90920020,615452,92,6592031,663435,92,6619065,578314,93,7787248,945766,97,11617183,734232,97,11330215,678793,80,1993979,636287,91,6453928,928869,71,818636,1458002,75,1301979,1062970,75,1251271,1015669,66,543762,1578950,86,3883209,715527,73,1029863,1032233,88,4410915,292394,81,2287978,649133,79,1801581,605417,78,1673344,574885,79,1936321,589253,85,3498788,659028,95,8889018,398845,72,937585,565900,74,1147755,769591,84,3114366,364595,1,0,-1,0,,0,,0,,0,,383,164314.0,5,286956.0,0,,0,,0,,54,199611.0,0,,0,,0,,30,244295.0,15,197586.0,18,432233.0,78,266866.0,119,352452.0,70,274610.0,50,50796.0,0,,0,,734,58445.0,93,256800.0,201,113787.0,22,478010.0,0,,221,175832.0,0,,30,186901.0,46,217324.0,0,,1,167750.0,0,,0,,0,,0,,0,,64,179245.0,0,,0,,0,,7,539886.0,0,,0,,15,835823.0,22,172058.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,258980.0,0,,845,106405.0,186,626195.0,0,,46,200922.0,435,240079.0
Vilua,2025-12-09,1904,90870265,615456,87,4368477,855393,84,3072879,914867,97,11030325,779728,98,12703899,688591,99,14143904,504428,80,2005366,619759,94,8110648,802221,91,5907581,601584,75,1238487,1105974,78,1668652,895142,77,1538487,889380,85,3292015,802292,76,1385854,838715,79,1836863,608733,80,1994601,726420,78,1775621,610614,75,1265734,774806,73,1050977,890723,90,5631127,497456,82,2575418,750447,70,789255,619630,73,994278,844548,82,2489817,650005,1,0,-1,0,,0,,0,,0,,226,291101.0,0,,0,,0,,0,,0,,0,,0,,50,121941.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,75,280606.0,0,,11,635110.0,0,,225,172782.0,489,405506.0,0,,0,,0,,0,,0,,188,19818.0,0,,11,149022.0,0,,0,,0,,0,,0,,13,408466.0,0,,0,,0,,125,14252.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,410,220392.0,159,701381.0,0,,88,143339.0,0,
munchsoul,2025-12-09,1904,91097410,615445,86,3618848,917062,82,2428648,1000182,96,9894841,828257,94,8258521,928808,91,6058315,971531,77,1572109,731492,88,4689959,1076647,99,14059470,129788,87,4020354,494782,74,1098758,1090315,80,2179972,719360,80,2037392,1015796,83,2735797,555114,77,1545435,667477,82,2589858,591852,71,867567,873427,77,1600208,599679,79,1800070,603965,72,911144,1170236,99,13061404,326736,69,703848,664567,88,4449209,275788,72,915683,873548,1,0,-1,0,,0,,0,,0,,120,473991.0,25,69823.0,160,99559.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,18,612393.0,0,,0,,0,,0,,28,404947.0,0,,0,,11,647282.0,0,,0,,0,,0,,0,,415,12325.0,0,,0,,0,,0,,97,9123.0,108,115667.0,0,,0,,25,344936.0,0,,0,,0,,0,,11,900823.0,16,221205.0,0,,0,,0,,112,161846.0,0,,0,,0,,0,,4,,0,,0,,2,,0,,0,,0,,193,352983.0,38,1363994.0,0,,0,,1,
Myrsi,2025-12-09,1904,90775216,615462,92,6639959,660310,90,5604657,653148,99,13124607,609004,99,13829989,628097,94,8337216,812410,77,1476150,851549,92,6972048,893093,91,6387513,577335,82,2652047,662152,80,2024637,813546,74,1173350,1040868,72,926117,1469715,78,1779685,740224,74,1144010,832799,79,1960643,739425,78,1706414,629633,77,1548580,617237,78,1651726,625598,89,5015832,537492,71,880224,1129284,81,2343694,326667,74,1142068,771834,82,2454050,667029,1,0,-1,0,,0,,0,,0,,543,97774.0,0,,0,,0,,0,,114,145730.0,0,,0,,0,,0,,0,,0,,70,278122.0,44,515555.0,61,289212.0,0,,0,,0,,171,212675.0,208,164638.0,214,107507.0,0,,0,,0,,361,439942.0,0,,32,242797.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,442282.0,0,,0,,0,,136,12089.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,514,181478.0,35,1384841.0,0,,486,27258.0,561,206628.0
SickeJos,2025-12-09,1335,9130788,1761412,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,74,1144557,1983890,1,-1,-1,1,-1,-1,1,-1,-1,73,1031434,1230322,65,466410,1598037,65,491373,1649672,64,438376,1860151,1,-1,-1,1,-1,-1,61,314495,1956043,43,54593,1984863,63,369346,1752951,1,-1,-1,58,236617,1719253,41,44541,1876516,1,-1,-1,57,218499,1563591,42,45911,1931252,1,0,-1,0,,0,,0,,0,,50,734189.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Videofreak19,2025-12-09,1335,9139513,1761411,75,1210996,1673316,71,871302,1639171,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,70,770054,1642805,1,-1,-1,1,-1,-1,1,-1,-1,64,443064,1857367,1,-1,-1,54,163595,1902790,1,-1,-1,1,-1,-1,60,274914,1960478,53,145907,1823020,63,388739,1530263,48,84753,1724709,38,32587,1803437,43,55246,1868412,50,101380,1719840,1,0,-1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Jak  Rachet,2025-12-09,1335,9101896,1761418,70,737698,-1,60,278103,-1,63,368868,-1,70,743093,-1,75,1267229,1903199,70,740062,1416170,72,906811,-1,70,797170,1505062,61,319222,-1,67,548376,1514376,62,333825,1979850,50,103465,-1,61,305037,1898989,41,44881,-1,60,277323,-1,45,66787,1903605,60,273957,1974441,62,333826,1330935,64,425439,1496876,30,13460,-1,36,26652,1887489,30,14329,-1,55,176283,1374657,1,0,-1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
rRory,2025-12-09,1335,9122048,1761414,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,55,173665,1913000,1,-1,-1,70,770779,1637532,1,-1,-1,1,-1,-1,1,-1,-1,70,758832,1564920,1,-1,-1,55,172615,1874573,1,-1,-1,48,86398,1822040,59,261765,-1,53,137151,1999462,53,142775,1922633,72,957891,1085817,38,31103,1824471,83,2857034,398041,42,45909,1931267,1,0,-1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,758030.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,42,1325656.0,0,,0,,0,
ChuckTogetha,2025-12-09,1335,9090906,1761422,71,835654,1858919,72,907916,1618122,75,1216037,-1,77,1504066,1938201,72,950567,-1,53,148572,1992665,71,860353,-1,66,522514,-1,58,243027,-1,55,183184,-1,51,123534,-1,50,101495,-1,54,163744,-1,56,194798,1820002,52,124873,-1,53,144294,1628737,56,198540,-1,53,138252,1962045,56,200574,1783956,46,68066,1771922,39,36133,1764246,55,170296,1617832,43,54417,1883576,1,0,-1,0,,0,,0,,0,,38,807763.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,49,177881.0,0,,67,454469.0,0,,11,323900.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,39,260839.0,0,,0,,0,,0,,0,,0,,0,,0,,26,340585.0,0,,0,,0,,0,,7,987812.0,0,,0,,0,,0,,30,271558.0,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,
