rank,username,vorkath_kc
1,Binge Jesus,180515
2,Dierseus,87187
3,Sir Yaxay,83945
4,subtlety11,83732
5,LB4,82791
6,Exp edition,81828
7,molkash2,81750
8,Clicks0nMobs,80953
9,Klovnen Bo,80299
10,Unvirgin,79608
11,vaxonu,79289
12,Slay to 1b,78962
13,natedalegend,76524
14,Im Foreign,75313
15,DeadMANzor,72965
16,E um elissir,71416
17,Rollingb0nes,69766
18,Weed5,69176
19,Spen x,68521
20,King Shujin,68335
21,DounJewan,67659
22,Hyula,67047
23,lowlifing,65866
24,Ludioz,64319
25,LilKond00,63933
26,keept secret,63110
27,Lerimin,62229
28,hoydoye,61946
29,Nickybee,61779
30,Jack_Bushe92,61495
31,Dr Booq,60405
32,Mr Manju,59898
33,enfiorcest,58917
34,Velopzz,58267
35,lxlAdamlxl,58011
36,KingJpwn,57664
37,Andryzius,57471
38,Die or Live,56885
39,EzGameEzLife,56081
40,cheo78907,55815
41,Neika5,55781
42,Period,55640
43,fa nt as y,55622
44,Good Ol Bill,54626
45,Zeuces,54547
46,Jackoz,54458
47,Last Czar,53813
48,Disfunctie,53581
49,dz1k1s,53267
50,ledushvente,53139
51,Reckless_187,53109
52,albacora,52851
53,Mili696969,52495
54,gumeHAHA,52118
55,BIG DOG 456,51990
56,DinoOSRS,51842
57,Jaxasltu,51787
58,video peli,51702
59,Flimsy Lies,51055
60,GS-4,51028
61,Verdureiro 3,50467
62,SuperJoy,50328
63,Worsfestin,50310
64,Neferthitti,50226
65,padq,50000
66,Bigos,49827
67,Xxaragon,49771
68,Hyvarh,49761
69,Kenshin Batt,49495
70,Kuubaa,49450
71,Kitty Pryde,49432
72,Leech TOA,49203
73,I Karl,48929
74,Saytra,48891
75,JrgenLeth,48744
76,Red Broom,48600
77,Joby Prime,48583
78,Jasp3r,48450
79,Jaxooooo,47737
80,RAGNAR-0KING,47689
81,Ewrelis,47626
82,Lord Harlow,47403
83,Offspringkid,47250
84,Pau lius,47202
85,l-Optiplex-l,47196
86,Temperatura,47092
87,itsDB,47080
88,kyraEndLight,47008
89,Vorky Boy,46997
90,L l V E D,46934
91,Luci14,46787
92,Khuf,46133
93,vegetaa0,46048
94,Hiker Trash,45967
95,TheBlxde,45780
96,Am I b0t,45474
97,thebestplayw,45381
98,Marvedzani,45319
99,DivinoGOAT,45313
100,Wi3sh1n,45288
101,iiye,45107
102,ZoggyShit,45093
103,For1,45030
104,Nex Trucker,44823
105,Alexitto s2,44787
106,T0NTSA,44659
107,RubiesCurse,44515
108,yande5dra,44349
109,4stifen,44057
110,BABY-QUEEN I,43948
111,Cake mmm,43914
112,aMiso,43780
113,Magic_MikeXL,43585
114,SER NGA,43529
115,RMAC-97,43373
116,loo0v,43349
117,AnoNiChoya,43267
118,TaoismyFiend,43206
119,Cransta,43206
120,Sp00ners,43026
121,looozzzaaa,42909
122,16Os,42905
123,Magija,42265
124,MeNoLikeIt,42138
125,TricksOnIt,42081
126,Weed 2020,42079
127,Mo Ass,41868
128,Khandi,41760
129,AK47u GUN,41623
130,VorkathRxR,41462
131,CCS429,41405
132,Venom4172,41361
133,ayo Bob,41241
134,Cajun Fries,41061
135,DRAKARY,40808
136,4_20oclock,40807
137,Esham,40807
